#1960, 1960, 1960
#1961, 1960, 1970
#1962, 1960, 1980
#1963, 1960, 1990
#1964, 1960, 2000
#1965, 1960, 2010
#1966, 1960
#1967, 1965
#1968, 1970
#1969, 1975
#1970, 1980
#1971, 1985
#1972, 1990
#1973, 1995
#1974, 2000
#1975, 2005
#1976, 2010
#1977
#1978
#1979
#1980
#1981
#1982
#1983
#1984
#1985
#1986
#1987
#1988
#1989
#1990
#1991
#1992
#1993
#1994
#1995
#1996
#1997
#1998
#1999
#2000
#2001
#2002
#2003
#2004
#2005
#2006
#2007
#2008
#2009
#2010
#2011
#2012
#2013
